SimpleID INATTENTIVE_RESP Q_TotalDurationSecs Gender Vehicles HomePark ModelYear Hybrid BuyLease UsedPurchaseYear VehPrice VehSize KnowMPG VehMPG Age Education License Occupation CommuteFullLength DriveCommute WorkParkFee HH_Head Income Kids Adolescent Adults Workers Zipcode HomeType scenario_num year scenario_year in_year choice gas_price ele_price gasveh_price gasveh_mpg gasveh_range gasveh_size hev_price hev_mpg hev_range hev_size bev_price bev_mpg bev_range bev_size curveh_price curveh_mpg curveh_range curveh_size curveh_model_year
47 1 374 1 2 3 2008 2 2 2011 11000 1 2 -99 5 3 1 1 5 1 0 1 3 1 1 2 3 21218 6 0 2014 0 0 2 4.25 4.5 22000 20 0 1 32000 45 0 1 24000 80 110 1 11000 -97 -99 1 2008
47 1 374 1 2 3 2008 2 2 2011 11000 1 2 -99 5 3 1 1 5 1 0 1 3 1 1 2 3 21218 6 6 2017 3 0 3 4.92 4.84 25000 39 0 0 28000 33 0 2 24000 89 90 1 11000 -97 -99 1 2014
47 1 374 1 2 3 2008 2 2 2011 11000 1 2 -99 5 3 1 1 5 1 0 1 3 1 1 2 3 21218 6 12 2020 6 0 3 5.56 5.07 25000 45 0 0 35000 26 0 2 28000 138 130 0 28000 33 -99 2 2017
48 1 308 1 3 4 2013 1 1 -99 22000 3 1 35 4 2 1 1 40 1 0 1 3 2 2 2 3 20657 6 0 2014 0 0 3 3.25 4.25 28000 14 0 2 20000 35 0 1 20000 80 60 1 22000 35 -99 3 2013
48 1 308 1 3 4 2013 1 1 -99 22000 3 1 35 4 2 1 1 40 1 0 1 3 2 2 2 3 20657 6 6 2017 3 0 3 3.7 4.55 43000 25 0 2 50000 26 0 2 18000 109 100 0 22000 35 -99 3 2014
48 1 308 1 3 4 2013 1 1 -99 22000 3 1 35 4 2 1 1 40 1 0 1 3 2 2 2 3 20657 6 12 2020 6 0 3 4 4.73 50000 28 0 2 28000 36 0 2 24000 98 105 1 50000 26 -99 2 2017
49 1 234 1 2 1 2014 1 1 -99 23500 3 1 38 3 2 1 1 17 1 0 1 3 1 1 2 3 20678 6 0 2014 0 0 3 3.75 5 35000 26 0 2 43000 30 0 2 28000 80 75 1 23500 38 -99 3 2014
49 1 234 1 2 1 2014 1 1 -99 23500 3 1 38 3 2 1 1 17 1 0 1 3 1 1 2 3 20678 6 6 2017 3 0 2 4.36 5.39 30000 26 0 1 50000 26 0 2 24000 119 75 0 23500 38 -99 3 2014
49 1 234 1 2 1 2014 1 1 -99 23500 3 1 38 3 2 1 1 17 1 0 1 3 1 1 2 3 20678 6 12 2020 6 0 2 4.62 5.77 35000 28 0 2 35000 36 0 2 20000 128 90 1 30000 26 -99 1 2017
50 1 585 2 2 5 2006 2 1 -99 18000 1 2 -99 2 5 1 1 10 3 -99 1 5 1 1 2 3 20902 2 0 2014 0 0 3 4 5 13000 28 0 0 24000 52 0 0 20000 90 110 1 18000 -97 -99 1 2006
50 1 585 2 2 5 2006 2 1 -99 18000 1 2 -99 2 5 1 1 10 3 -99 1 5 1 1 2 3 20902 2 6 2017 3 0 3 5.05 5.35 30000 34 0 1 24000 41 0 1 28000 129 115 0 18000 -97 -99 1 2014
50 1 585 2 2 5 2006 2 1 -99 18000 1 2 -99 2 5 1 1 10 3 -99 1 5 1 1 2 3 20902 2 12 2020 6 0 3 5.56 5.6 26000 40 0 1 28000 56 0 0 18000 118 115 0 24000 41 -99 1 2017
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 0 2014 0 0 1 4.25 4.75 13000 24 0 0 18000 40 0 0 20000 80 60 1 -99 -97 -99 2 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 1 2014 0 1 1 4.25 4.75 20000 33 0 0 43000 27 0 2 24000 120 60 0 -99 -97 -99 2 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 2 2015 1 0 1 4.52 4.73 22000 26 0 1 24000 42 0 1 24000 93 65 1 -99 -97 -99 2 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 3 2015 1 1 1 4.52 4.73 26000 30 0 1 50000 24 0 2 20000 83 95 1 -99 -97 -99 2 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 4 2016 2 0 1 4.49 4.87 20000 37 0 0 32000 44 0 1 20000 86 100 1 -99 -97 -99 2 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 5 2016 2 1 1 4.49 4.87 22000 28 0 1 20000 49 0 1 28000 136 95 0 -99 -97 -99 2 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 6 2017 3 0 1 4.71 4.97 50000 29 0 2 28000 41 0 1 24000 99 105 1 -99 -97 -99 2 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 7 2017 3 1 1 4.71 4.97 25000 44 0 0 50000 33 0 2 32000 119 75 1 -97 -97 -99 1 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 8 2018 4 0 1 4.92 5.13 43000 30 0 2 35000 31 0 2 18000 122 90 0 -97 -97 -99 1 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 9 2018 4 1 1 4.92 5.13 26000 40 0 1 28000 27 0 2 28000 122 130 1 -97 -97 -99 1 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 10 2019 5 0 1 4.95 5.2 26000 38 0 1 50000 28 0 2 20000 95 115 1 -97 -97 -99 1 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 11 2019 5 1 1 4.95 5.2 25000 43 0 0 28000 35 0 2 21000 115 95 0 -97 -97 -99 1 1997
51 1 806 2 3 2 1997 2 1 -99 -99 2 2 -99 3 3 1 3 -99 -99 -99 2 5 1 1 3 2 21742 6 12 2020 6 0 1 5.02 5.33 13000 40 0 0 43000 36 0 2 18000 128 130 0 -99 -97 -99 1 1997
